Zeit - sec	WBMS - m/s	Latitude - 	Longitude - 	Tag - 	Monat - 	Jahr - 	Stunden - 	Minuten - 	Sekunden - 
2,9333304	0	484,026426	117,002831	12	11	2020	12	57	54
2,9666637	0	484,026426	117,002831	12	11	2020	12	57	54
2,999997	0	484,026426	117,002831	12	11	2020	12	57	54
3,0333303	0	484,026426	117,002831	12	11	2020	12	57	54
3,0666636	0	484,026426	117,002831	12	11	2020	12	57	54
3,0999969	0	484,026426	117,002831	12	11	2020	12	57	54
3,1333302	0	484,026426	117,002831	12	11	2020	12	57	54
3,1666635	0	484,026426	117,002831	12	11	2020	12	57	54
3,1999968	0	484,026426	117,002831	12	11	2020	12	57	54
3,2333301	0	484,026426	117,002831	12	11	2020	12	57	54
3,2666634	0	484,026426	117,002831	12	11	2020	12	57	54
3,2999967	0	484,026426	117,002831	12	11	2020	12	57	55
3,33333	0	484,026426	117,002831	12	11	2020	12	57	55
3,3666633	0	484,026426	117,002831	12	11	2020	12	57	55
3,3999966	0	484,026426	117,002831	12	11	2020	12	57	55
3,4333299	0	484,026426	117,002831	12	11	2020	12	57	55
3,4666632	0	484,026426	117,002831	12	11	2020	12	57	55
3,4999965	0	484,026426	117,002831	12	11	2020	12	57	55
3,5333298	0	484,026426	117,00283	12	11	2020	12	57	55
3,5666631	0	484,026426	117,00283	12	11	2020	12	57	55
3,5999964	0	484,026426	117,00283	12	11	2020	12	57	55
3,6333297	0	484,026426	117,00283	12	11	2020	12	57	55
3,666663	0	484,026426	117,00283	12	11	2020	12	57	55
3,6999963	0	484,026426	117,00283	12	11	2020	12	57	55
3,7333296	0	484,026426	117,00283	12	11	2020	12	57	55
3,7666629	0	484,026426	117,00283	12	11	2020	12	57	55
3,7999962	0	484,026426	117,00283	12	11	2020	12	57	55
3,8333295	0	484,026426	117,00283	12	11	2020	12	57	55
3,8666628	0	484,026426	117,00283	12	11	2020	12	57	55
3,8999961	0	484,026426	117,00283	12	11	2020	12	57	55
3,9333294	0	484,026426	117,00283	12	11	2020	12	57	55
3,9666627	0	484,026426	117,00283	12	11	2020	12	57	55
3,999996	0	484,026426	117,00283	12	11	2020	12	57	55
4,0333293	0	484,026426	117,00283	12	11	2020	12	57	55
4,0666626	0	484,026426	117,00283	12	11	2020	12	57	55
4,0999959	0	484,026426	117,00283	12	11	2020	12	57	55
4,1333292	0	484,026426	117,00283	12	11	2020	12	57	55
4,1666625	0	484,026426	117,00283	12	11	2020	12	57	55
4,1999958	0	484,026426	117,00283	12	11	2020	12	57	55
4,2333291	0	484,026426	117,00283	12	11	2020	12	57	55
4,2666624	0	484,026426	117,00283	12	11	2020	12	57	55
4,2999957	0	484,026426	117,00283	12	11	2020	12	57	56
4,333329	0	484,026426	117,00283	12	11	2020	12	57	56
4,3666623	0	484,026426	117,00283	12	11	2020	12	57	56
4,3999956	0	484,026426	117,00283	12	11	2020	12	57	56
4,4333289	0	484,026426	117,00283	12	11	2020	12	57	56
4,4666622	0	484,026426	117,00283	12	11	2020	12	57	56
4,4999955	0	484,026426	117,00283	12	11	2020	12	57	56
4,5333288	0	484,026426	117,00283	12	11	2020	12	57	56
4,5666621	0	484,026426	117,00283	12	11	2020	12	57	56
4,5999954	0	484,026426	117,00283	12	11	2020	12	57	56
4,6333287	0	484,026426	117,00283	12	11	2020	12	57	56
4,666662	0	484,026426	117,00283	12	11	2020	12	57	56
4,6999953	0	484,026426	117,00283	12	11	2020	12	57	56
4,7333286	0	484,026426	117,00283	12	11	2020	12	57	56
4,7666619	0	484,026426	117,00283	12	11	2020	12	57	56
4,7999952	0	484,026426	117,00283	12	11	2020	12	57	56
4,8333285	0	484,026426	117,00283	12	11	2020	12	57	56
4,8666618	0	484,026426	117,00283	12	11	2020	12	57	56
4,8999951	0	484,026426	117,00283	12	11	2020	12	57	56
4,9333284	0	484,026426	117,00283	12	11	2020	12	57	56
4,9666617	0	484,026426	117,00283	12	11	2020	12	57	56
4,999995	0	484,026426	117,00283	12	11	2020	12	57	56
5,0333283	0	484,026426	117,00283	12	11	2020	12	57	56
5,0666616	0	484,026426	117,00283	12	11	2020	12	57	56
5,0999949	0	484,026426	117,00283	12	11	2020	12	57	56
5,1333282	0	484,026426	117,00283	12	11	2020	12	57	56
5,1666615	0	484,026426	117,00283	12	11	2020	12	57	56
5,1999948	0	484,026426	117,00283	12	11	2020	12	57	56
5,2333281	0	484,026426	117,00283	12	11	2020	12	57	56
5,2666614	0	484,026426	117,00283	12	11	2020	12	57	56
5,2999947	0	484,026426	117,00283	12	11	2020	12	57	57
5,333328	0	484,026426	117,00283	12	11	2020	12	57	57
5,3666613	0	484,026426	117,00283	12	11	2020	12	57	57
5,3999946	0	484,026426	117,00283	12	11	2020	12	57	57
5,4333279	0	484,026426	117,00283	12	11	2020	12	57	57
5,4666612	0	484,026426	117,00283	12	11	2020	12	57	57
5,4999945	0	484,026426	117,00283	12	11	2020	12	57	57
5,5333278	0	484,026426	117,00283	12	11	2020	12	57	57
5,5666611	0	484,026426	117,00283	12	11	2020	12	57	57
5,5999944	0	484,026426	117,00283	12	11	2020	12	57	57
5,6333277	0	484,026426	117,00283	12	11	2020	12	57	57
5,666661	0	484,026426	117,00283	12	11	2020	12	57	57
5,6999943	0	484,026426	117,00283	12	11	2020	12	57	57
5,7333276	0	484,026425	117,002831	12	11	2020	12	57	57
5,7666609	0	484,026425	117,002831	12	11	2020	12	57	57
5,7999942	0	484,026425	117,002831	12	11	2020	12	57	57
5,8333275	0	484,026425	117,002831	12	11	2020	12	57	57
5,8666608	0	484,026425	117,002831	12	11	2020	12	57	57
5,8999941	0	484,026425	117,002831	12	11	2020	12	57	57
5,9333274	0	484,026425	117,00283	12	11	2020	12	57	57
5,9666607	0	484,026425	117,00283	12	11	2020	12	57	57
5,999994	0	484,026425	117,00283	12	11	2020	12	57	57
6,0333273	0	484,026424	117,002831	12	11	2020	12	57	57
6,0666606	0	484,026424	117,002831	12	11	2020	12	57	57
6,0999939	0	484,026424	117,002831	12	11	2020	12	57	57
6,1333272	0	484,026424	117,00283	12	11	2020	12	57	57
6,1666605	0	484,026424	117,00283	12	11	2020	12	57	57
6,1999938	0	484,026424	117,00283	12	11	2020	12	57	57
6,2333271	0	484,026424	117,00283	12	11	2020	12	57	57
6,2666604	0	484,026424	117,00283	12	11	2020	12	57	57
6,2999937	0	484,026424	117,00283	12	11	2020	12	57	58
6,333327	0	484,026423	117,002831	12	11	2020	12	57	58
6,3666603	0	484,026423	117,002831	12	11	2020	12	57	58
6,3999936	0	484,026423	117,002831	12	11	2020	12	57	58
6,4333269	0	484,026423	117,00283	12	11	2020	12	57	58
6,4666602	0	484,026423	117,00283	12	11	2020	12	57	58
6,4999935	0	484,026423	117,00283	12	11	2020	12	57	58
6,5333268	0	484,026423	117,00283	12	11	2020	12	57	58
6,5666601	0	484,026423	117,00283	12	11	2020	12	57	58
